unix_timestamp,bid,ask,mid
1759175662.4242077,1.8529,1.853,1.852950
1759175662.8424752,1.8529,1.853,1.852950
1759175663.1810944,1.8529,1.853,1.852950
1759175663.440039,1.8529,1.853,1.852950
1759175663.6936378,1.8529,1.8532,1.853050
1759175663.9478877,1.8531,1.8532,1.853150
1759175664.2268608,1.8533,1.8534,1.853350
1759175664.4552763,1.8533,1.8534,1.853350
1759175664.7177708,1.8534,1.8535,1.853450
1759175664.97496,1.8534,1.8535,1.853450
1759175665.3059676,1.8534,1.8535,1.853450
1759175665.8667808,1.8534,1.8535,1.853450
1759175666.2741487,1.8534,1.8535,1.853450
1759175666.710901,1.8534,1.8535,1.853450
1759175666.9692614,1.8534,1.8535,1.853450
1759175667.344714,1.8533,1.8535,1.853400
1759175667.5418506,1.8533,1.8534,1.853350
1759175667.8008616,1.8533,1.8534,1.853350
1759175668.0601854,1.8533,1.8534,1.853350
1759175668.365831,1.8533,1.8534,1.853350
1759175668.6332142,1.8534,1.8536,1.853500
1759175668.9011636,1.8535,1.8536,1.853550
1759175669.2018611,1.8536,1.8537,1.853650
1759175669.4241784,1.8536,1.8537,1.853650
1759175669.6778839,1.8536,1.8537,1.853650
1759175669.9571605,1.8536,1.8537,1.853650
1759175670.2691813,1.8536,1.8537,1.853650
1759175670.5576296,1.8536,1.8537,1.853650
1759175670.8806343,1.8536,1.8537,1.853650
1759175671.3247702,1.8537,1.854,1.853850
1759175671.5713613,1.8539,1.854,1.853950
1759175671.8228195,1.8539,1.854,1.853950
1759175672.071998,1.8539,1.854,1.853950
1759175672.3538053,1.8539,1.854,1.853950
1759175672.606374,1.8539,1.854,1.853950
1759175672.8527153,1.8539,1.854,1.853950
1759175673.1098053,1.8539,1.854,1.853950
1759175673.3599405,1.8539,1.854,1.853950
1759175673.7534127,1.8539,1.854,1.853950
1759175674.1014423,1.8539,1.854,1.853950
1759175674.354919,1.8539,1.854,1.853950
1759175674.6048663,1.8544,1.8545,1.854450
1759175674.9098232,1.8547,1.8548,1.854750
1759175675.1246665,1.8547,1.8548,1.854750
1759175675.3734195,1.8548,1.8549,1.854850
1759175675.6245394,1.8548,1.8549,1.854850
1759175675.88689,1.8548,1.8549,1.854850
1759175676.1501942,1.8548,1.8549,1.854850
1759175676.4681177,1.8548,1.8549,1.854850
1759175676.751587,1.8548,1.8549,1.854850
1759175677.061045,1.8548,1.8549,1.854850
1759175677.4038646,1.8548,1.8549,1.854850
1759175677.7516701,1.8548,1.8549,1.854850
1759175678.0703542,1.8548,1.8549,1.854850
1759175678.330383,1.8548,1.8549,1.854850
1759175678.6539211,1.8548,1.8549,1.854850
1759175678.9999142,1.8548,1.8549,1.854850
1759175679.2624516,1.8549,1.855,1.854950
1759175679.5141022,1.8549,1.855,1.854950
1759175679.7650986,1.8549,1.855,1.854950
1759175680.112767,1.855,1.8551,1.855050
1759175680.3671012,1.855,1.8551,1.855050
1759175680.7004063,1.855,1.8551,1.855050
1759175681.1131816,1.855,1.8551,1.855050
1759175681.5425727,1.855,1.8551,1.855050
1759175681.8278842,1.855,1.8551,1.855050
1759175682.4290466,1.855,1.8551,1.855050
1759175682.717696,1.8551,1.8552,1.855150
1759175682.95503,1.8551,1.8552,1.855150
1759175683.415182,1.8553,1.8554,1.855350
1759175683.6826222,1.8553,1.8554,1.855350
1759175683.9356656,1.8553,1.8554,1.855350
1759175684.1906857,1.8553,1.8554,1.855350
1759175684.4530852,1.8553,1.8554,1.855350
1759175684.7176247,1.8553,1.8554,1.855350
1759175684.9718094,1.8553,1.8554,1.855350
1759175685.2731595,1.8552,1.8554,1.855300
1759175685.4784002,1.8552,1.8553,1.855250
1759175685.7266564,1.8552,1.8553,1.855250
1759175685.996851,1.8552,1.8553,1.855250
1759175686.2491467,1.8552,1.8553,1.855250
1759175686.5592587,1.8552,1.8553,1.855250
1759175686.8323364,1.8552,1.8553,1.855250
1759175687.0929015,1.8552,1.8553,1.855250
1759175687.3751976,1.8552,1.8553,1.855250
1759175687.654709,1.8552,1.8553,1.855250
1759175687.9223883,1.8552,1.8553,1.855250
1759175688.2465436,1.8552,1.8553,1.855250
1759175688.5023859,1.8552,1.8553,1.855250
1759175689.023968,1.8552,1.8553,1.855250
1759175689.2738616,1.855,1.8551,1.855050
1759175689.5287452,1.855,1.8551,1.855050
1759175689.7846625,1.855,1.8551,1.855050
1759175690.0444906,1.855,1.8551,1.855050
1759175690.3057125,1.855,1.8554,1.855200
1759175690.569663,1.8557,1.8558,1.855750
1759175690.8421004,1.8557,1.8558,1.855750
1759175691.0970135,1.8557,1.8558,1.855750
1759175691.3504755,1.8557,1.8558,1.855750
1759175691.647275,1.8557,1.8558,1.855750
1759175691.899277,1.8552,1.8554,1.855300
1759175692.1546042,1.8545,1.855,1.854750
1759175692.4066172,1.8546,1.8548,1.854700
1759175692.670238,1.8547,1.8548,1.854750
1759175692.9304955,1.8547,1.8548,1.854750
1759175693.1835012,1.8547,1.8548,1.854750
1759175693.4511416,1.8547,1.8548,1.854750
1759175693.7029808,1.8547,1.8548,1.854750
1759175693.9806805,1.8547,1.8548,1.854750
1759175694.2365263,1.8547,1.8548,1.854750
1759175694.603572,1.8547,1.8548,1.854750
1759175694.8857162,1.8547,1.8548,1.854750
1759175695.1747787,1.8547,1.8548,1.854750
1759175695.4258776,1.8547,1.8548,1.854750
1759175695.67976,1.8545,1.8546,1.854550
1759175695.9482973,1.8545,1.8546,1.854550
1759175696.19981,1.8545,1.8546,1.854550
1759175696.5094259,1.8545,1.8546,1.854550
1759175696.761188,1.8545,1.8546,1.854550
1759175697.1290593,1.8545,1.8546,1.854550
1759175697.3947196,1.8545,1.8546,1.854550
1759175697.6499708,1.8545,1.8546,1.854550
1759175698.175807,1.8545,1.8546,1.854550
1759175698.5653841,1.8545,1.8546,1.854550
1759175698.943489,1.8544,1.8545,1.854450
1759175699.2052019,1.8541,1.8542,1.854150
1759175699.467152,1.8537,1.854,1.853850
1759175699.7231917,1.8536,1.8537,1.853650
1759175699.9797134,1.8536,1.8537,1.853650
1759175700.3430853,1.8536,1.8537,1.853650
1759175700.4804585,1.8536,1.8537,1.853650
1759175700.7312312,1.8536,1.8537,1.853650
1759175700.9857655,1.8536,1.8537,1.853650
1759175701.2356257,1.8539,1.854,1.853950
1759175701.4895506,1.8536,1.8537,1.853650
1759175701.7357485,1.8533,1.8534,1.853350
1759175701.9958243,1.8531,1.8532,1.853150
1759175702.2482533,1.8531,1.8532,1.853150
1759175702.4999304,1.8531,1.8532,1.853150
1759175702.751652,1.8531,1.8535,1.853300
1759175703.0345237,1.8534,1.8535,1.853450
1759175703.2867908,1.8535,1.8536,1.853550
1759175703.5409784,1.8535,1.8536,1.853550
1759175703.8041186,1.8535,1.8536,1.853550
1759175704.0623722,1.8537,1.8538,1.853750
1759175704.3135731,1.8538,1.8543,1.854050
1759175704.5640438,1.8543,1.8544,1.854350
1759175704.8167343,1.8543,1.8544,1.854350
1759175705.067403,1.8543,1.8544,1.854350
1759175705.341574,1.8543,1.8544,1.854350
1759175705.5943427,1.8546,1.8547,1.854650
1759175705.8510618,1.8546,1.8547,1.854650
1759175706.1009634,1.8546,1.8547,1.854650
1759175706.3532274,1.8546,1.8547,1.854650
1759175706.607904,1.8546,1.8549,1.854750
1759175706.8600416,1.8551,1.8553,1.855200
1759175707.1115186,1.8553,1.8554,1.855350
1759175707.3633163,1.8553,1.8554,1.855350
1759175707.6808069,1.8556,1.8557,1.855650
1759175707.8895524,1.8554,1.8555,1.855450
1759175708.1401973,1.8554,1.8555,1.855450
1759175708.447129,1.8554,1.8555,1.855450
1759175708.7943647,1.8554,1.8555,1.855450
1759175709.0469904,1.8552,1.8555,1.855350
1759175709.2941945,1.8551,1.8552,1.855150
1759175709.546263,1.8548,1.8551,1.854950
1759175709.7972066,1.8548,1.8549,1.854850
1759175710.0473137,1.8548,1.8549,1.854850
1759175710.2974482,1.8548,1.8549,1.854850
1759175710.5643804,1.8548,1.8549,1.854850
1759175710.816139,1.8548,1.8549,1.854850
1759175711.1171865,1.8548,1.8549,1.854850
1759175711.4728177,1.8548,1.8549,1.854850
1759175711.736573,1.8548,1.8549,1.854850
1759175712.0093935,1.8548,1.8549,1.854850
1759175712.2658253,1.8548,1.8549,1.854850
1759175712.6112823,1.855,1.8551,1.855050
1759175712.8673022,1.855,1.8551,1.855050
1759175713.1337802,1.855,1.8551,1.855050
1759175713.4098685,1.855,1.8551,1.855050
1759175713.6681874,1.8553,1.8554,1.855350
1759175713.959695,1.8553,1.8554,1.855350
1759175714.2025898,1.8553,1.8554,1.855350
1759175714.4618113,1.8553,1.8554,1.855350
1759175714.7458189,1.8553,1.8554,1.855350
1759175715.0373452,1.8553,1.8554,1.855350
1759175715.2906566,1.8557,1.8558,1.855750
1759175715.5456803,1.8557,1.8558,1.855750
1759175715.8129299,1.8557,1.8558,1.855750
1759175716.0623837,1.8554,1.8558,1.855600
1759175716.3128443,1.8554,1.8555,1.855450
1759175716.5842328,1.8554,1.8558,1.855600
1759175716.8381898,1.8557,1.8558,1.855750
1759175717.109369,1.8557,1.8558,1.855750
1759175717.4102886,1.8557,1.8558,1.855750
1759175717.6637342,1.8557,1.8558,1.855750
1759175718.146784,1.855,1.8554,1.855200
1759175718.404625,1.8549,1.855,1.854950
1759175718.6633193,1.8549,1.855,1.854950
1759175718.9210665,1.8551,1.8552,1.855150
1759175719.1830251,1.8551,1.8552,1.855150
1759175719.4358778,1.8549,1.855,1.854950
1759175719.6920512,1.8549,1.855,1.854950
1759175720.001056,1.8549,1.855,1.854950
1759175720.2562063,1.8549,1.855,1.854950
1759175720.5174806,1.8547,1.8548,1.854750
1759175720.7716572,1.8547,1.8548,1.854750
1759175721.0195377,1.8547,1.8548,1.854750
1759175721.3643649,1.8547,1.8548,1.854750
1759175721.6186085,1.8547,1.8548,1.854750
1759175721.8703868,1.8547,1.8548,1.854750
1759175722.1590168,1.8543,1.8544,1.854350
1759175722.3954062,1.8543,1.8544,1.854350
1759175722.6478066,1.8543,1.8544,1.854350
1759175722.923142,1.8543,1.8544,1.854350
1759175723.173967,1.8535,1.854,1.853750
1759175723.4268491,1.8532,1.8534,1.853300
1759175723.6779928,1.8531,1.8532,1.853150
1759175723.9268281,1.8531,1.8532,1.853150
1759175724.1993406,1.8531,1.8532,1.853150
1759175724.4359353,1.853,1.8531,1.853050
1759175724.6963224,1.8523,1.8526,1.852450
1759175724.9523287,1.8523,1.8524,1.852350
1759175725.2438471,1.8523,1.8524,1.852350
1759175725.4974408,1.8529,1.853,1.852950
1759175725.7505772,1.8529,1.853,1.852950
1759175726.0144491,1.8529,1.853,1.852950
1759175726.2873986,1.8529,1.853,1.852950
1759175726.5487683,1.8531,1.8534,1.853250
1759175726.8001978,1.8532,1.8533,1.853250
1759175727.0506992,1.8532,1.8533,1.853250
1759175727.3217099,1.8532,1.8533,1.853250
1759175727.5719666,1.8526,1.8529,1.852750
1759175727.8240528,1.8526,1.8527,1.852650
1759175728.078394,1.8526,1.8527,1.852650
1759175728.3370097,1.8526,1.8527,1.852650
1759175728.6099622,1.8526,1.8527,1.852650
1759175728.874369,1.8526,1.8527,1.852650
1759175729.1274784,1.8526,1.8527,1.852650
1759175729.4824615,1.8518,1.8524,1.852100
1759175729.6269102,1.8519,1.852,1.851950
1759175729.8788214,1.8521,1.8526,1.852350
1759175730.1291249,1.8524,1.8525,1.852450
1759175730.393411,1.8524,1.8525,1.852450
1759175730.653845,1.8524,1.8525,1.852450
1759175730.9135823,1.8524,1.8525,1.852450
1759175731.1644425,1.8526,1.8528,1.852700
1759175731.4217517,1.8527,1.8528,1.852750
1759175731.6767387,1.8527,1.8528,1.852750
1759175731.9329977,1.8523,1.8524,1.852350
1759175732.180055,1.8523,1.8524,1.852350
1759175732.4374642,1.8524,1.8526,1.852500
1759175732.6891894,1.8522,1.8524,1.852300
1759175732.9406393,1.8523,1.8524,1.852350
1759175733.2079978,1.8523,1.8524,1.852350
1759175733.4877021,1.8523,1.8524,1.852350
1759175733.7580292,1.8524,1.8528,1.852600
1759175734.0069711,1.8525,1.8526,1.852550
1759175734.257845,1.8525,1.8526,1.852550
1759175734.623758,1.8525,1.8527,1.852600
1759175734.8795068,1.8526,1.8527,1.852650
1759175735.1371474,1.8526,1.8527,1.852650
1759175735.3975163,1.8523,1.8525,1.852400
1759175735.6491954,1.8521,1.8522,1.852150
1759175735.9042034,1.8521,1.8522,1.852150
1759175736.2103286,1.852,1.8522,1.852100
1759175736.4690676,1.852,1.8521,1.852050
1759175736.748727,1.852,1.8521,1.852050
1759175736.997014,1.852,1.8521,1.852050
1759175737.2559063,1.852,1.8521,1.852050
1759175737.5113857,1.852,1.8521,1.852050
1759175737.7605133,1.852,1.8524,1.852200
1759175738.0126603,1.8522,1.8524,1.852300
1759175738.2929373,1.8523,1.8524,1.852350
1759175738.5393052,1.8523,1.8524,1.852350
1759175738.8374155,1.8522,1.8524,1.852300
1759175739.1060266,1.8522,1.8523,1.852250
1759175739.3633356,1.8522,1.8523,1.852250
1759175739.6142864,1.8522,1.8524,1.852300
1759175739.8652103,1.8522,1.8523,1.852250
1759175740.151112,1.8522,1.8523,1.852250
1759175740.4022133,1.8522,1.8523,1.852250
1759175740.8116384,1.852,1.8521,1.852050
1759175741.0677838,1.8521,1.8522,1.852150
1759175741.3240013,1.8521,1.8522,1.852150
1759175741.6439388,1.8521,1.8523,1.852200
1759175741.9101279,1.8521,1.8522,1.852150
1759175742.226443,1.8521,1.8522,1.852150
1759175742.4813962,1.8521,1.8522,1.852150
1759175742.7306118,1.8521,1.8522,1.852150
1759175742.9854205,1.8521,1.8522,1.852150
1759175743.2496839,1.8523,1.8524,1.852350
1759175743.4999812,1.8523,1.8524,1.852350
1759175743.7506397,1.8523,1.8524,1.852350
1759175744.070289,1.8523,1.8524,1.852350
1759175744.3704033,1.8523,1.8524,1.852350
1759175744.7290897,1.8523,1.8524,1.852350
1759175745.004709,1.8523,1.8524,1.852350
1759175745.280207,1.8521,1.8522,1.852150
1759175745.5334888,1.852,1.8522,1.852100
1759175745.784185,1.852,1.8521,1.852050
1759175746.0358477,1.852,1.8521,1.852050
1759175746.3684013,1.852,1.8521,1.852050
1759175746.6466775,1.852,1.8521,1.852050
1759175746.9338562,1.8519,1.8521,1.852000
1759175747.2059994,1.8519,1.852,1.851950
1759175747.4616668,1.8519,1.852,1.851950
1759175747.7154555,1.8519,1.852,1.851950
1759175747.9662538,1.8519,1.852,1.851950
1759175748.2446568,1.8519,1.8524,1.852150
1759175748.4938276,1.8522,1.8523,1.852250
1759175748.805877,1.8522,1.8523,1.852250
1759175749.0284448,1.8522,1.8523,1.852250
1759175749.2893453,1.8522,1.8523,1.852250
1759175749.548341,1.8522,1.8523,1.852250
1759175749.9072845,1.8522,1.8523,1.852250
1759175750.1821196,1.8521,1.8523,1.852200
1759175750.4325528,1.8521,1.8522,1.852150
1759175750.6967516,1.8521,1.8522,1.852150
1759175750.9617949,1.8518,1.8521,1.851950
1759175751.217767,1.8519,1.852,1.851950
1759175751.4880245,1.8519,1.852,1.851950
1759175751.742208,1.8519,1.852,1.851950
1759175752.1473677,1.8519,1.852,1.851950
1759175752.403396,1.8519,1.852,1.851950
1759175752.6547012,1.8517,1.852,1.851850
1759175752.9158309,1.8521,1.8522,1.852150
1759175753.1805658,1.852,1.8521,1.852050
1759175753.4326298,1.852,1.8521,1.852050
1759175753.7079957,1.852,1.8521,1.852050
1759175754.0294843,1.8516,1.8517,1.851650
1759175754.279972,1.8516,1.8517,1.851650
1759175754.5527651,1.8516,1.8517,1.851650
1759175754.849323,1.8516,1.8517,1.851650
1759175755.1281295,1.8516,1.8517,1.851650
1759175755.5960648,1.8516,1.8517,1.851650
1759175756.28043,1.8516,1.8517,1.851650
1759175756.5400054,1.8516,1.8517,1.851650
1759175756.8314798,1.8516,1.8517,1.851650
1759175757.0788648,1.8516,1.8517,1.851650
1759175757.3288927,1.8516,1.8517,1.851650
1759175757.7954857,1.8516,1.8517,1.851650
1759175758.0465183,1.8516,1.8517,1.851650
1759175758.2998476,1.8516,1.8517,1.851650
1759175758.5575397,1.8518,1.8519,1.851850
1759175758.8065019,1.8518,1.8519,1.851850
1759175759.0559273,1.8518,1.8519,1.851850
1759175759.30857,1.8518,1.8519,1.851850
1759175759.5640109,1.8518,1.8519,1.851850
1759175759.8145247,1.8518,1.8523,1.852050
1759175760.0696104,1.8522,1.8523,1.852250
1759175760.346823,1.8522,1.8523,1.852250
1759175760.5983803,1.8522,1.8523,1.852250
1759175760.8505197,1.8522,1.8523,1.852250
1759175761.1006005,1.8522,1.8523,1.852250
1759175761.416249,1.8522,1.8523,1.852250
1759175761.645812,1.8522,1.8523,1.852250
1759175761.9034376,1.8522,1.8526,1.852400
1759175762.1547153,1.8527,1.8528,1.852750
1759175762.4277058,1.8527,1.8528,1.852750
1759175762.681303,1.8527,1.8528,1.852750
1759175762.9491851,1.8527,1.8528,1.852750
1759175763.2376332,1.8527,1.8528,1.852750
1759175763.8790092,1.8527,1.8528,1.852750
1759175764.1368728,1.8527,1.8528,1.852750
1759175764.4499836,1.8527,1.8528,1.852750
1759175764.827029,1.8533,1.8534,1.853350
1759175765.0741043,1.8537,1.8538,1.853750
1759175765.3305802,1.8539,1.854,1.853950
1759175765.5868218,1.854,1.8541,1.854050
1759175765.8394775,1.8543,1.8544,1.854350
1759175766.0983121,1.8543,1.8544,1.854350
1759175766.3631132,1.8534,1.8537,1.853550
1759175766.6159956,1.8534,1.8535,1.853450
1759175766.8656476,1.8534,1.8535,1.853450
1759175767.1665423,1.8534,1.8535,1.853450
1759175767.6731749,1.8534,1.8535,1.853450
1759175767.9632857,1.8534,1.8535,1.853450
1759175768.3365674,1.8534,1.8535,1.853450
1759175768.676193,1.8534,1.8535,1.853450
1759175768.9398313,1.8534,1.8535,1.853450
1759175769.5301688,1.8534,1.8535,1.853450
1759175769.9655597,1.8532,1.8535,1.853350
1759175770.2425096,1.8533,1.8534,1.853350
1759175770.5017421,1.8533,1.8534,1.853350
1759175770.8171878,1.8533,1.8534,1.853350
1759175771.312883,1.8533,1.8534,1.853350
1759175771.6055179,1.8533,1.8534,1.853350
1759175771.869257,1.8533,1.8534,1.853350
1759175772.1703677,1.8533,1.8534,1.853350
1759175772.540668,1.8535,1.8536,1.853550
1759175772.7923226,1.8535,1.8536,1.853550
1759175773.0525148,1.8535,1.8538,1.853650
1759175773.3433073,1.8535,1.8536,1.853550
1759175773.6181467,1.8535,1.8536,1.853550
1759175773.875332,1.8535,1.8536,1.853550
1759175774.1764677,1.8529,1.8533,1.853100
1759175774.425399,1.853,1.8531,1.853050
1759175774.7052972,1.853,1.8531,1.853050
1759175775.0077093,1.853,1.8531,1.853050
1759175775.3354483,1.853,1.8531,1.853050
1759175775.7426941,1.853,1.8531,1.853050
1759175776.0135677,1.853,1.8535,1.853250
1759175776.2755296,1.8534,1.8535,1.853450
1759175776.5307434,1.8534,1.8535,1.853450
1759175776.8078299,1.8534,1.8535,1.853450
1759175777.079301,1.853,1.8531,1.853050
1759175777.3353684,1.853,1.8531,1.853050
1759175777.6254709,1.853,1.8531,1.853050
1759175777.8882656,1.853,1.8531,1.853050
1759175778.1719773,1.853,1.8534,1.853200
1759175778.473498,1.8535,1.8536,1.853550
1759175778.731824,1.8537,1.8538,1.853750
1759175778.9851658,1.8537,1.8538,1.853750
1759175779.2389953,1.8531,1.8536,1.853350
1759175779.4920013,1.8531,1.8532,1.853150
1759175779.7661133,1.8533,1.8534,1.853350
1759175780.0153532,1.8533,1.8534,1.853350
1759175780.287394,1.8533,1.8534,1.853350
1759175780.5443938,1.8536,1.8537,1.853650
1759175780.79626,1.8536,1.8537,1.853650
1759175781.0467954,1.8537,1.8538,1.853750
1759175781.2999206,1.8538,1.8539,1.853850
1759175781.5573459,1.8538,1.8539,1.853850
1759175781.881391,1.8538,1.8539,1.853850
1759175782.1534069,1.8538,1.8539,1.853850
1759175782.4069092,1.8538,1.8539,1.853850
1759175782.6872723,1.8538,1.8539,1.853850
1759175782.938837,1.8538,1.8539,1.853850
1759175783.202402,1.8538,1.8539,1.853850
1759175783.5108361,1.8535,1.8538,1.853650
1759175783.7671754,1.8536,1.8537,1.853650
1759175784.0202703,1.8536,1.8537,1.853650
1759175784.2740798,1.8536,1.8537,1.853650
1759175784.5257723,1.8532,1.8537,1.853450
1759175784.7781672,1.8535,1.8536,1.853550
1759175785.0295954,1.8535,1.8536,1.853550
1759175785.2794166,1.8535,1.8536,1.853550
1759175785.553732,1.8535,1.8536,1.853550
1759175785.8162637,1.8535,1.8536,1.853550
1759175786.1379147,1.8533,1.8534,1.853350
1759175786.3973768,1.8533,1.8534,1.853350
1759175786.6572714,1.8533,1.8534,1.853350
1759175786.9474866,1.8527,1.8528,1.852750
1759175787.2198894,1.8512,1.852,1.851600
1759175787.449687,1.8512,1.8513,1.851250
1759175787.7001073,1.8512,1.8513,1.851250
